cor, best_epoch, model, layer_num, hidden_chanel, word, category, city, pref, station, spot
0.80763,73,deeptour,3,128,True,False,True,False,False,200
0.81295,41,deeptour,3,512,True,False,True,False,False,50,0.05
0.81427,39,deeptour,3,512,True,False,True,False,False,50,0.05
0.81551,33,deeptour,3,512,True,False,True,False,False,50,0.05
0.81551,33,deeptour,3,512,True,False,True,False,False,50,0.1
0.81551,33,deeptour,3,512,True,False,True,False,False,50,0.1
0.81551,33,deeptour,3,512,True,False,True,False,False,50,0.1
0.81551,33,deeptour,3,512,True,False,True,False,False,50,0.2
0.8112,34,deeptour,3,512,True,False,True,False,False,50,0.05
0.81467,37,deeptour,3,512,True,False,True,False,False,50,0.05
0.81386,45,deeptour,3,512,True,False,True,False,False,50,0.05
0.81304,36,deeptour,3,512,True,False,True,False,False,50,0.1
0.81336,36,deeptour,3,512,True,False,True,False,False,50,0.1
0.81591,39,deeptour,3,512,True,False,True,False,False,50,0.1
0.81476,43,deeptour,3,512,True,False,True,False,False,50,0.2
0.81436,36,deeptour,3,512,True,False,True,False,False,50,0.2
0.81549,43,deeptour,3,512,True,False,True,False,False,50,0.2
0.81283,35,deeptour,3,512,True,False,True,False,False,50,0.5
0.81261,33,deeptour,3,512,True,False,True,False,False,50,0.5
0.81067,34,deeptour,3,512,True,False,True,False,False,50,0.5
0.81478,37,deeptour,3,512,True,False,True,False,False,100,0.05
0.81465,36,deeptour,3,512,True,False,True,False,False,100,0.05
0.81247,44,deeptour,3,512,True,False,True,False,False,100,0.05
0.80904,39,deeptour,3,512,True,False,True,False,False,100,0.1
0.81366,39,deeptour,3,512,True,False,True,False,False,100,0.1
0.80976,32,deeptour,3,512,True,False,True,False,False,100,0.1
0.81656,33,deeptour,3,512,True,False,True,False,False,100,0.2
0.81392,42,deeptour,3,512,True,False,True,False,False,100,0.2
0.81305,38,deeptour,3,512,True,False,True,False,False,100,0.2
0.81285,39,deeptour,3,512,True,False,True,False,False,100,0.5
0.81262,46,deeptour,3,512,True,False,True,False,False,100,0.5
0.81219,36,deeptour,3,512,True,False,True,False,False,100,0.5
0.81236,36,deeptour,3,512,True,False,True,False,False,200,0.05
0.81788,40,deeptour,3,512,True,False,True,False,False,200,0.05
0.81516,42,deeptour,3,512,True,False,True,False,False,200,0.05
0.81008,32,deeptour,3,512,True,False,True,False,False,200,0.1
0.81167,40,deeptour,3,512,True,False,True,False,False,200,0.1
0.81656,45,deeptour,3,512,True,False,True,False,False,200,0.1
0.81178,35,deeptour,3,512,True,False,True,False,False,200,0.2
0.81024,31,deeptour,3,512,True,False,True,False,False,200,0.2
0.81424,39,deeptour,3,512,True,False,True,False,False,200,0.2
0.81225,38,deeptour,3,512,True,False,True,False,False,200,0.5
